City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ahuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
2,Charters Towers,AU,87.66,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
3,Lompoc,US,70.02,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
6,Batticaloa,LK,85.1,overcast clouds,7.7102,81.6924,Grand Star Guest House
9,Mataura,NZ,59.54,overcast clouds,-46.1927,168.8643,Ellie's Villa
12,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
14,Saint George,US,80.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
15,Butaritari,KI,81.5,broken clouds,3.0707,172.7902,Isles Sunset Lodge
18,Busselton,AU,60.01,scattered clouds,-33.65,115.3333,Observatory Guest House
20,Nabire,ID,86.65,broken clouds,-3.3667,135.4833,Hotel Nusantara I
21,Luganville,VU,83.01,broken clouds,-15.5333,167.1667,The Espiritu Hotel
22,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
23,Atuona,PF,76.59,few clouds,-9.8,-139.0333,Villa Enata
25,Bambous Virieux,MU,73.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
26,Cabo San Lucas,MX,83.5,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
27,Chippewa Falls,US,53.78,overcast clouds,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
29,Yulara,AU,89.46,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
31,Rikitea,PF,70.57,scattered clouds,-23.1203,-134.9692,People ThankYou
32,Cape Town,ZA,55.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
34,Taltal,CL,56.3,clear sky,-25.4,-70.4833,Residencial Karime
38,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
40,Ulladulla,AU,60.6,overcast clouds,-35.35,150.4667,Sandpiper Motel
41,Zhangye,CN,69.1,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
42,Westport,US,53.64,clear sky,41.1415,-73.3579,The Westport Inn
43,Bluff,NZ,54.23,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
44,Puerto Ayora,EC,67.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Laguna,US,79.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
46,Coahuayana,MX,76.66,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
48,Jalu,LY,75.34,scattered clouds,29.0331,21.5482,صاحبة الفخامة
49,Mpanda,TZ,66.94,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
50,Jamui,IN,86.67,overcast clouds,24.9167,86.2167,hotel sneha
51,Kapaa,US,82.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Carnarvon,AU,69.28,clear sky,-24.8667,113.6333,Hospitality Carnarvon
53,Mar Del Plata,AR,53.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
56,Ribeira Grande,PT,73.09,heavy intensity rain,38.5167,-28.7,Quinta da Meia Eira
57,Ponta Do Sol,PT,72.23,scattered clouds,32.6667,-17.1,Hotel do Campo
58,Christchurch,NZ,57.9,broken clouds,-43.5333,172.6333,The George
59,Green River,US,57.6,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
60,Fortuna,US,58.35,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
62,Kruisfontein,ZA,55.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
63,Palu,ID,85.23,broken clouds,-0.8917,119.8707,Hotel Santika Palu
64,Locri,IT,60.89,clear sky,38.2414,16.2623,Grand Hotel President
65,Geraldton,AU,61.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
66,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
68,Thompson,CA,57.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
69,Meulaboh,ID,83.7,overcast clouds,4.1363,96.1285,Kost Pria
72,Jacareacanga,BR,76.55,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
73,Yellowknife,CA,52.32,broken clouds,62.456,-114.3525,The Explorer Hotel
74,Sundargarh,IN,82.29,scattered clouds,22.1167,84.0333,Sankara City
75,Acapulco,MX,78.85,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
76,Omis,HR,55.33,scattered clouds,43.4447,16.6886,Hotel Villa Dvor
77,Mapiripan,CO,74.05,broken clouds,2.8892,-72.1256,Monserrate
78,Victoria,HK,88.03,broken clouds,22.2855,114.1577,Mini Central
83,Chipinge,ZW,58.66,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
84,Mount Gambier,AU,55.71,clear sky,-37.8333,140.7667,The Commodore
87,Aswan,EG,79.9,clear sky,24.0934,32.907,Nuba Nile
88,Omboue,GA,75.76,overcast clouds,-1.5746,9.2618,Hotel Olako
89,San Jeronimo,PE,52.79,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
92,Changji,CN,79.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
94,Fort Nelson,CA,58.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
95,Arraial Do Cabo,BR,67.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
96,Mayumba,GA,74.84,light rain,-3.432,10.6554,LIKWALE LODGE
97,Mountain Home,US,63.88,clear sky,43.133,-115.6912,Mountain Home Inn
98,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
99,Odweyne,SO,73.89,overcast clouds,9.4092,45.064,Eng Hiirey House
100,Muros,ES,62.1,few clouds,42.7762,-9.0603,Apartment Av. Castelao
103,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
104,Mecca,SA,85.89,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
106,Shimoda,JP,77.36,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
107,Ambon,ID,89.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
108,Port Alfred,ZA,60.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
109,Puerto Leguizamo,CO,71.42,overcast clouds,-0.1934,-74.7819,la casona de juancho
110,Callaguip,PH,87.82,broken clouds,18.0714,120.4867,Pangil Beach Resort
111,Hobart,AU,51.66,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
112,Tezu,IN,73.89,overcast clouds,27.9167,96.1667,Circuit House
113,Coihueco,CL,50.74,clear sky,-36.6167,-71.8333,"Frutillares, Coihueco"
114,Caraquet,CA,50.54,moderate rain,47.7941,-64.9386,Gite Le Poirier
115,Sitka,US,55.29,broken clouds,57.0531,-135.33,Westmark Sitka
117,Cidreira,BR,51.62,clear sky,-30.1811,-50.2056,Hotel Castelo
119,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
120,Richards Bay,ZA,64.08,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
121,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,Le four à pain
122,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
123,Nouakchott,MR,82.33,light rain,18.0858,-15.9785,HOTEL IMAN
124,Bengkulu,ID,82.0,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
125,Lata,PT,60.08,overcast clouds,40.1629,-8.3327,Casa Maquia
126,Vieques,PR,83.1,clear sky,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
129,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
130,Kavaratti,IN,81.84,few clouds,10.5669,72.642,Green leaf
131,Natitingou,BJ,69.94,light rain,10.3042,1.3796,Cotonou
134,Olafsvik,IS,50.41,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
135,Champerico,GT,78.55,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
137,Meadow Lake,US,69.4,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
138,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
139,Biloela,AU,82.35,clear sky,-24.4167,150.5,Silo Motor Inn Biloela
140,Byron Bay,AU,78.71,clear sky,-28.65,153.6167,Backpackers Inn
141,Labuhan,ID,89.89,clear sky,-6.8844,112.2051,DoubleFAG
143,Forest,US,55.45,clear sky,37.3638,-79.2897,Days inn
144,Teknaf,BD,85.05,overcast clouds,20.8624,92.3058,Forestry Guesthouse
147,Hovd,MN,62.85,clear sky,48.0056,91.6419,Hotel Khovd
148,Guerrero Negro,MX,74.14,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
149,Havelock,US,63.93,clear sky,34.8791,-76.9013,Sherwood Motel
150,Lake Elsinore,US,83.59,clear sky,33.6681,-117.3273,"Holiday Inn Express & Suites Lake Elsinore, an IHG Hotel"
152,New Norfolk,AU,51.3,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
153,Auki,SB,86.49,few clouds,-8.7676,160.7034,Auki Motel
154,Northam,GB,56.61,broken clouds,51.0333,-4.2167,Durrant House Hotel
155,Esna,EG,75.22,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
157,Zeya,RU,59.5,broken clouds,53.75,127.2667,Kapital Inn
161,Manbij,SY,63.84,clear sky,36.5281,37.9549,Manbej City Hotel
163,Touros,BR,76.17,clear sky,-5.1989,-35.4608,INN NEW HORIZON
165,Altamont,US,58.89,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
166,Gambela,ET,70.36,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
167,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
168,Naze,JP,83.32,scattered clouds,28.3667,129.4833,Shishime Hotel
169,Altay,CN,70.52,clear sky,47.8667,88.1167,Jinqiao Hotel
170,Sioux Lookout,CA,51.87,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
171,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Bungalow 63
172,Tual,ID,82.38,broken clouds,-5.6667,132.75,Grand Vilia Hotel
173,Carutapera,BR,75.51,clear sky,-1.195,-46.02,Lidera
174,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
175,Riachao Das Neves,BR,73.06,scattered clouds,-11.7461,-44.91,Casa Costa
176,Torbay,CA,61.75,light intensity drizzle,47.6666,-52.7314,Gallows Cove
177,Luanda,AO,73.4,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
178,La Asuncion,VE,78.53,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
179,Hithadhoo,MV,81.63,overcast clouds,-0.6,73.0833,Scoop Guest House
181,Gusau,NG,73.36,overcast clouds,12.1628,6.6614,GUEST INN
182,Montalvo,EC,72.97,broken clouds,-1.8,-79.3333,Motel Los Laureles
183,Kodiak,US,54.91,few clouds,57.79,-152.4072,Best Western Kodiak Inn
184,Ladario,BR,63.5,scattered clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
185,Black River,JM,79.05,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
186,Sawtell,AU,69.82,broken clouds,-30.3833,153.1,The Bungalow Sawtell
187,Lubango,AO,63.09,clear sky,-14.9172,13.4925,Hotel Serra da Chela
189,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
190,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
191,Port Macquarie,AU,66.09,thunderstorm,-31.4333,152.9167,Rydges Port Macquarie
192,Oriximina,BR,76.12,clear sky,-1.7656,-55.8661,Pousada Tia Amélia
194,Aktau,KZ,68.58,few clouds,43.65,51.2,Silk Way Hotel
195,Nicoya,CR,74.84,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
196,Biak,ID,83.37,broken clouds,-0.9131,122.8766,Penginapan Kim
197,Grindavik,IS,50.47,mist,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
198,Brockville,CA,52.12,clear sky,44.5834,-75.6826,"Holiday Inn Express & Suites Brockville, an IHG Hotel"
199,Abbeville,FR,56.5,overcast clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
200,Kirkuk,IQ,78.66,clear sky,35.4681,44.3922,Cihad Oteli
203,Corvallis,US,64.45,clear sky,44.5646,-123.262,Hilton Garden Inn Corvallis
204,Katsuura,JP,80.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
205,Aquiraz,BR,80.69,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
206,Sarai Naurang,PK,86.58,clear sky,32.8259,70.7814,Taj Mahal hotel
207,Paratinga,BR,74.5,broken clouds,-12.6906,-43.1842,Pousada Magalhães 2
210,Praia Da Vitoria,PT,73.65,light rain,38.7333,-27.0667,Hotel Branco I
211,Te Anau,NZ,60.22,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
214,Bela,IN,84.06,overcast clouds,25.9333,81.9833,Raj Bhawan
215,Mackay,AU,86.68,clear sky,-21.15,149.2,International Lodge Motel
216,Port-Gentil,GA,76.78,light rain,-0.7193,8.7815,Fengshui Residence
218,Santa Marta,CO,81.9,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
219,Ahipara,NZ,60.15,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
220,East London,ZA,59.94,overcast clouds,-33.0153,27.9116,Tu Casa
221,Hasaki,JP,83.21,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
222,Naron,ES,62.02,scattered clouds,43.5167,-8.1528,Marcial
223,Guymon,US,75.2,few clouds,36.6828,-101.4816,Simple Rewards
224,Miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
225,Kavieng,PG,85.03,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
226,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
229,Menongue,AO,64.69,broken clouds,-14.6585,17.691,Ritz Lauca
230,Tonj,SS,68.23,scattered clouds,7.2737,28.6822,Lakan Hotel
231,Atbasar,KZ,72.81,clear sky,51.8,68.3333,Гостиничный Комплекс Saad
233,Springfield,US,72.23,broken clouds,37.2153,-93.2982,Best Western Route 66 Rail Haven
234,Samarai,PG,82.11,broken clouds,-10.6167,150.6667,Nuli Sapi
235,La Virginia,CO,69.35,light intensity drizzle,4.8997,-75.8825,Hotel Nogal Plaza
236,Severo-Kurilsk,RU,54.3,overcast clouds,50.6789,156.125,Kak Doma
238,Owase,JP,83.82,clear sky,34.0667,136.2,Business Hotel Phoenix
240,Lasa,IT,54.48,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
244,Guasdualito,VE,78.8,broken clouds,7.2424,-70.7324,Hotel Cuibas
245,Nkhotakota,MW,71.62,scattered clouds,-12.9274,34.2961,Sitima Inn
246,Manono,CD,75.99,overcast clouds,-7.3,27.4167,Hotel hewa bora
247,Kalinovo,RU,51.58,overcast clouds,57.1317,60.1464,Hotel Complex Zagorie
248,Ouesso,CG,68.88,overcast clouds,1.6136,16.0517,ABENIE Hotel
249,Rawson,AR,52.5,clear sky,-43.3002,-65.1023,Hosteria Sampedro
250,Huimilpan,MX,52.63,scattered clouds,20.372,-100.2774,Loving World Spa
251,Malakal,SS,69.42,broken clouds,9.5334,31.6605,Nile Palace Hotel
252,Fredericksburg,US,56.57,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
253,Mehran,IR,86.02,clear sky,33.1222,46.1646,بوتیک زنانه بهار
254,Ashland,US,52.27,overcast clouds,40.8167,-82.2665,SureStay
255,Sibolga,ID,85.03,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
258,Port Augusta,AU,70.12,clear sky,-32.5,137.7667,Majestic Oasis Apartments
259,Mirabela,BR,68.79,broken clouds,-16.2628,-44.1644,Hotel e Restaurante Barril
260,Yatou,CN,71.89,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
261,Calderitas,MX,80.49,overcast clouds,18.55,-88.25,Hotel Hacienda Campestre
262,Salalah,OM,79.2,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
264,Conceicao Do Araguaia,BR,77.25,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
266,Hami,CN,80.42,scattered clouds,42.8,93.45,Laoyutang Resort
267,Mana,GF,77.92,clear sky,5.6592,-53.7767,LE SAMANA
269,Plouzane,FR,55.72,scattered clouds,48.3833,-4.6167,Lymina
271,Kaputa,ZM,71.31,scattered clouds,-8.4689,29.6619,Chelelwa Charlets
272,Staffanstorp,SE,54.07,clear sky,55.6428,13.2064,Djurslövs Brygghus
273,Bethel,US,50.54,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
274,Savelugu,GH,73.4,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
275,Kirakira,SB,84.47,few clouds,-10.4544,161.9205,SanBiz Lodge
276,Chikmagalur,IN,72.3,broken clouds,13.3167,75.7833,Gateway Chikmagalur - IHCL SeleQtions
277,Port Lincoln,AU,56.75,clear sky,-34.7333,135.8667,Port Lincoln Hotel
278,Hun,LY,72.25,broken clouds,29.1268,15.9477,Alrwasi Hotel
279,Progreso,MX,78.12,clear sky,21.2833,-89.6667,Playa Linda Hotel
281,Vila,PT,50.88,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
284,Esperance,AU,57.79,broken clouds,-33.8667,121.9,Hospitality Esperance
285,Porbandar,IN,81.52,broken clouds,21.6422,69.6093,Lords Inn Porbandar
287,Les Cayes,HT,79.38,broken clouds,18.2,-73.75,Villa Orphee
288,Dwarka,IN,82.63,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
290,Port Elizabeth,ZA,59.31,light intensity drizzle,-33.918,25.5701,39 On Nile Guest House
291,Quatre Cocos,MU,73.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
292,Moba,CN,57.61,overcast clouds,33.2288,105.0179,Xinlong Hotel
293,Marsh Harbour,BS,82.87,light rain,26.5412,-77.0636,Abaco Beach Resort
294,Lorengau,PG,84.22,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
295,Tashla,RU,64.78,scattered clouds,51.7716,52.7427,Torch Hotel
297,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
299,Stephenville,US,81.55,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
300,Luoyang,CN,70.45,overcast clouds,34.6836,112.4536,易家国际青年旅舍
301,Chicama,PE,57.74,broken clouds,-7.8447,-79.1469,Balihai Bungalows
302,Caravelas,BR,74.5,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
303,Phalombe,MW,68.74,clear sky,-15.8064,35.6507,RIVONIA
305,Tocopilla,CL,57.02,few clouds,-22.092,-70.1979,Hotel Galvarino
306,Benidorm,ES,76.77,overcast clouds,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
307,Tiarei,PF,82.0,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
308,Damaturu,NG,74.07,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
309,Moerai,PF,70.63,few clouds,-22.4333,-151.3333,Le Manotel
312,Wajir,KE,73.36,clear sky,1.7471,40.0573,Mahatallah Hotel
314,Kaffrine,SN,75.34,overcast clouds,14.1059,-15.5508,Beuleup counda motel
317,Bozhou,CN,72.59,overcast clouds,33.8772,115.7703,Haitian Hotel
319,Tortosa,ES,71.24,overcast clouds,40.8125,0.5216,Parador de Tortosa
320,Banda Aceh,ID,83.84,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
321,Kyzyl,RU,59.72,overcast clouds,51.7,94.45,"The hotel complex ""Buyan-Badyrgy"""
323,Gumla,IN,79.88,broken clouds,23.05,84.55,Hotel Bindesh - Chulhani - Best Hotel and Restaurant in Gumla
324,Kamaishi,JP,73.83,moderate rain,39.2667,141.8833,Hotel Route Inn Kamaishi
325,Tsiroanomandidy,MG,66.67,clear sky,-18.7667,46.0333,Hotel Ravinala
326,Cururupu,BR,73.4,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
327,Abay,KZ,64.78,clear sky,49.6311,72.8539,Guest House on Abaya 144
330,Diapaga,BF,74.66,broken clouds,12.0708,1.7889,Hôtel GACILIE
334,Banes,CU,79.9,few clouds,20.9625,-75.7186,Hostal Iván y yailet
336,Sena Madureira,BR,71.87,overcast clouds,-9.0656,-68.6569,Hotel Central
338,Slave Lake,CA,51.78,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
340,Paducah,US,67.6,clear sky,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
